00184	1490531	Kozjek	Franc	1000000
00186	1490787	KURENT	VALENTIN	0000100
00188	1491043	Buser	Stanko	1000000
00189	1491299	Mioc	Pero	1000000
00190	1491555	Brencic	Jurij	1000000
00191	1491811	BELIC	IGOR	1000000
00192	1492067	GRASSELLI	JOSIP	1000000
00193	1492323	Gorenc	Bogomil	1000000
00195	1492579	HABE	FRANCE	1000000
00196	1492835	ILESIC	SVETOZAR	1000000
00198	1493347	Kuscer	Ivan	1000000
00199	1493603	Levstik	Adrijan	1000000
00200	1493859	MAYER	ERNEST	1000000
00201	1494115	MATJASIC	JANEZ	1000000
00202	1494371	PAHOR	SERGEJ	1000000
00204	1494627	Suhadolc	Anton	1000000
00205	1494883	SUSNIK	FRANC	1000000
00206	1495139	Sket	Boris	1000000
00207	1495395	SERCELJ	ALOJZ	1000000
00208	1495651	Trontelj	Zvonko	1000000
00209	1495907	TARMAN	KAZIMIR	1000000
00210	1496163	Turnsek	Dragica	1000000
00211	1496419	VARDJAN	MIRAN	1000000
00212	1496675	Beges	Janez	1000000
00213	1496931	Zakrajsek	Egon	1000000
00214	1497187	MARTINI	JANEZ	1000000
00215	1497443	Dobcnik	Danilo	1000000
00216	1497699	Gomiscek	Sergej	1000000
00217	1497955	Rihar	Gabriel Janez	0100000
00218	1498211	Kornhauser Frazer	Aleksandra	0100000
00219	1498467	KRUSIC	BOGDAN	1000000
00220	1498723	OSOLE	FRANC	1000000
00221	1498979	PRIJATELJ	NIKO	1000000
00222	1499235	PICMAN	LOVRO	1000000
00223	1499491	SOVINC	IVAN	1000000
00225	1499747	VIDAV	IVAN	1000000
00226	1500003	Vidmar	Silvan	0100000
00227	1500259	BOHINC	PAVLE	1000000
00228	1500515	ACCETTO	BOJAN	1000000
00229	139094371	ANTOLIC	IVO	1000000
00230	1501027	TOME	SAMO	1000000
00231	1501283	AZNIK	MARJAN	1000000
00232	1501539	Adamic	France	0001000
00233	1501795	AMBROZIC-POCKAR	MARIJA	1000000
00234	1502051	Banic	Stanko	1000000
00235	1502307	BRZIN	BRONISLAVA	1000000
00237	1502563	BRODNIK	TATJANA	1000000
00239	1502819	BOZIC	JANEZ	0001000
00240	1503075	BATIS	JANEZ	1000000
00241	1503331	BAJEC	VIKTOR	1000000
00242	1503587	BUCAR	FRANC	0001000
00243	1503843	Makarovic	Gorazd	0000010
00244	1504099	BANIC	JANEZ	0001000
00245	1504355	Brglez	Ivanka	0001000
00246	1504611	Brglez	Janez	0001000
00247	1504867	Briski	Alojzij	0001000
00248	1505123	BRODAR	DEMETRIJ	1000000
00249	1505379	BOH	KATJA	0000100
00250	1505635	BIBIC	ADOLF	0000100
00251	1505891	BREZE	BORIVOJ	1000000
00252	1506147	Banovec	Tomaz	0100000
00253	1506403	Bavcon	Ljubo	0000100
00254	1506659	BREGANT	TATJANA	1000000
00255	1506915	Bas	Angelos	0000010
00256	1507171	CVAHTE	SASA	1000000
00258	1507427	CENCELJ	JERCA	1000000
00259	1507683	CERNELC	DRAGA	1000000
00260	1507939	Leskovar	Silva	1000000
00261	1508195	Cepin	Slavko	0001000
00262	1508451	CERNE	IVANKA	1000000
00263	1508707	CRNKO	JERNEJ	0001000
00264	1508963	DOLINAR-OSOLE	ZLATA	1000000
00266	1509219	DEKLEVA	ALENKA	0010000
00268	1509475	MAREGA	MILENA	1000000
00269	1509731	DRUSKOVIC	DRAGO	1000000
00270	1509987	Erjavec	Franc	0010000
00271	1510243	ERJAVEC	MARJAN	1000000
00272	1510499	PERNARCIC	BOZIDAR	1000000
00273	1510755	Fercej	Joze	0001000
00274	1511011	FRANKOVIC	VLADIMIR	1000000
00275	1511267	Gogala	Matija	1000000
00276	1511523	GRACANIN	FRANJO	1000000
00277	1511779	Ticar	Igor	0100000
00279	1512035	Osolnik	Vladimir	0000010
00280	1512291	GREGOROVIC	VLADIMIR	1000000
00281	1512547	GOSAR	ALOJZIJ	0001000
00282	1512803	GOLOB	MATIJA	1000000
00283	1513059	ZIZEK	MITJA	0100000
00284	1513315	GABROVEC	STANISLAV	1000000
00285	1513571	GABERSCIK	BORIS	1000000
00288	1514083	Music	Ema	0010000
00289	1514339	Hrzic	Aleksander	0001000
00290	1514595	HLISC	TATJANA	1000000
00291	1514851	ISTENIC	LILIJANA	1000000
00292	1515107	PODMENIK	SLAVKO	1000000
00293	1515363	Kusterle	Dusan	0100000
00294	1515619	JURCA	MARIJAN	0010000
00295	1515875	JUZNIC	GOJMIR	0010000
00298	1516131	JURKOVIC	JOZE	0001000
00299	1516387	Stramljic Breznik	Irena	0000010
00300	1516643	JEZERNIK	MISO	1000000
00301	1516899	Jerovsek	Janez	0000100
00302	1517155	Juznic	Stane	0000010
00303	1517411	Valic	Marko	1100000
00304	1517667	Kambic	Vinko	0010000
00305	1517923	KARTIN	PETER	1000000
00306	1518179	Kralj	Dragica	0001000
00307	1518435	Kervina	France	0001000
00308	1518691	KLEMENC	NESTOR	1000000
00309	1518947	Pockaj-Horvat	Damijana	0000010
00310	1519203	Kert	Bozidar	1000000
00311	1519459	KACIN-WOHINZ	EMILIJA	0000010
00312	1519715	Kresal	Franc	0000010
00314	1519971	KOBE	PETER	1000000
00315	1520227	KOKOLE	VERA	1000000
00316	1520483	KURET	NIKO	0000010
00317	1520739	Zavirsek	Darja	0000100
00319	1520995	FALADORE	VINCENC	0100000
00320	1521251	KLEMENCIC	TONE	1000000
00322	1521507	Likar	Miha	0010000
00323	1521763	LUKIC	FRANC	0010000
00325	1522019	GOSTISA	IVO	1000000
00327	1522275	Leskosek	Mirko	1000000
00328	1522531	Locniskar	Franc	0001000
00330	1522787	LISKA	JANKO	1000000
00331	1523043	Podlogar	Helena	0000010
00332	1523299	LUZNIK	MARIJA	0000100
00333	1523555	Mueller	Jakob	0000010
00334	1523811	MILCINSKI	LEV	0010000
00335	1524067	Matjasic	Marko	0010000
00336	1524323	Mrhar	Marjan	0001000
00337	1524579	MIKLIC	ZVONKO	1000000
00338	1524835	Macek	Joze	0001000
00339	1525091	Mlinsek	Dusan	0001000
00340	1525347	Martincic	Andrej	1000000
00341	1525603	Trontelj	Joze	0010000
00342	1525859	Mehle	Janez	0001000
00343	1526115	Repolusk	Peter	0000010
00344	1526371	MARINC	VIKTOR	1000000
00345	1526627	Naglic	Zlatko	1000000
00346	1526883	MUNDA	IVKA-MARIJA	1000000
00347	1527139	Maticic	Branivoj	0001000
00348	1527395	Milohnoja	Marjan	0001000
00349	1527651	Kaucic-Basa	Majda	0000110
00351	1527907	Vidovic-Miklavcic	Anamarija	0000010
00353	1528163	Mozina	Stanislav	0000100
00354	1528419	Mlinar	Zdravko	0000100
00355	1528675	MARKIC	BOSTJAN	0000100
00356	1528931	Novak	Milan	0001000
00357	1529187	Celar	Franci Aco	0001000
00358	1529443	OREL	JANEZ	0010000
00359	1529699	OZIMIC-GERBEC	METKA	1000000
00361	1529955	OBLAK	MILICA	1000000
00362	1530211	Olas	Ludvik	0000010
00363	1530467	SIBAL	BRANKO	1000000
00364	1530723	SROT	VIDA	1000000
00365	1530979	Keber	Irena	0010000
00366	1531235	Pipan	Nada	0010000
00367	1531491	PEHANI	HUBERT	1000000
00368	1531747	POGACAR	JANEZ	1000000
00369	1532003	PISKERNIK	MILAN	1000000
00371	1532259	Jejcic	Viktor	0001000
00372	1532515	PUPPIS	NADA	1000000
00373	1532771	Keber	Dusan	0010000
00375	1533027	Prunk	Janko	0000100
00376	1533283	PECAR	JANEZ	0000100
00379	1533539	SREBOT-REJEC	TATJANA	1000000
00380	1533795	Pak	Mirko	0000010
00381	1534051	RAVNIHAR	BOZENA	0010000
00382	1534307	RAVNIK	CEDOMIR	1000000
00383	1534563	RIHTARSIC	NADA	1000000
00384	1534819	HRUSTEL-MAJCEN	MARTA	1000000
00385	1535075	Krasevec	Nada	1001000
00386	1535331	Rozman	Franc	0000010
00387	1535587	Roter	Zdenko	0000100
00388	1535843	Rus	Veljko	0000100
00389	1536099	ROZMAN	VILKO	1000000
00390	1536355	Radinja	Darko	0000010
00391	1536611	SCHAUER	PRIMOZ	1000000
00392	1536867	BERGANT	JOZE	1000000
00393	1537123	Schara	Milan Valter	1000000
00394	1537379	STRITAR	ALBIN	1000000
00395	1537635	Petric	Marko	0001000
00396	1537891	Salobir	Karl	0001000
00397	1538147	Stekar	Jasna	0001000
00398	1538403	SENEGACNIK	JURIJ	1000000
00399	1538659	SNOJ	NEZKA	1000000
00400	1538915	Ponikvar	Dusan	1000000
00401	1539171	Skalar	Vinko	0000100
00402	1539427	Svoljsak	Drago	0000010
00403	1539683	BRNCIC	IVO	1000000
00404	1539939	SEBEK	LJUBOSLAVA	1000000
00405	1540195	Sirca	Anton	1000000
00406	1540451	SIKOVEC	VENCESLAVA	0001000
